Date,Time,Result
2025-12-23,22:12:50.856148,NOT OK
2025-12-23,22:12:51.012083,NOT OK
2025-12-23,22:12:51.291922,NOT OK
2025-12-23,22:12:51.989482,NOT OK
2025-12-23,22:12:52.233269,NOT OK
2025-12-23,22:12:52.538088,NOT OK
2025-12-23,22:12:52.927058,NOT OK
2025-12-23,22:12:54.823654,NOT OK
2025-12-23,22:12:55.139079,NOT OK
2025-12-23,22:12:55.320595,NOT OK
2025-12-23,22:12:55.822543,NOT OK
2025-12-23,22:12:56.126485,NOT OK
2025-12-23,22:12:56.714620,NOT OK
2025-12-23,22:12:56.820412,NOT OK
2025-12-23,22:12:56.864560,NOT OK
2025-12-23,22:12:56.976560,NOT OK
2025-12-23,22:12:57.067312,NOT OK
2025-12-23,22:12:57.208705,NOT OK
2025-12-23,22:12:57.466533,NOT OK
2025-12-23,22:12:57.817312,NOT OK
2025-12-23,22:12:57.991239,NOT OK
2025-12-23,22:12:58.496595,NOT OK
2025-12-23,22:12:58.536770,NOT OK
2025-12-23,22:12:58.629864,NOT OK
2025-12-23,22:12:58.819090,NOT OK
2025-12-23,22:12:58.854502,NOT OK
2025-12-23,22:12:58.895123,NOT OK
2025-12-23,22:12:59.101456,NOT OK
2025-12-23,22:12:59.138371,NOT OK
2025-12-23,22:12:59.393310,NOT OK
2025-12-23,22:12:59.427647,NOT OK
2025-12-23,22:12:59.495048,NOT OK
2025-12-23,22:12:59.609358,NOT OK
2025-12-23,22:12:59.700678,NOT OK
2025-12-23,22:12:59.801615,NOT OK
2025-12-23,22:12:59.952780,NOT OK
2025-12-23,22:13:00.303261,NOT OK
2025-12-23,22:13:00.404966,NOT OK
2025-12-23,22:13:00.610899,NOT OK
2025-12-23,22:13:00.716278,NOT OK
2025-12-23,22:13:00.783538,NOT OK
2025-12-23,22:13:00.818234,NOT OK
2025-12-23,22:13:00.891456,NOT OK
2025-12-23,22:13:00.960755,NOT OK
2025-12-23,22:13:01.133987,NOT OK
2025-12-23,22:13:01.205164,NOT OK
2025-12-23,22:13:01.336330,NOT OK
2025-12-23,22:13:01.983400,NOT OK
2025-12-23,22:13:02.455263,NOT OK
2025-12-23,22:13:02.689934,NOT OK
2025-12-23,22:13:03.033410,NOT OK
2025-12-23,22:13:03.128698,NOT OK
2025-12-23,22:13:03.241166,NOT OK
2025-12-23,22:13:03.445231,NOT OK
2025-12-23,22:13:04.328672,NOT OK
2025-12-23,22:13:04.428642,NOT OK
2025-12-23,22:13:04.531439,NOT OK
2025-12-23,22:13:04.914764,NOT OK
2025-12-23,22:13:06.085715,NOT OK
2025-12-23,22:13:07.072277,NOT OK
2025-12-23,22:13:07.191352,NOT OK
2025-12-23,22:13:07.385561,NOT OK
2025-12-23,22:13:07.618886,NOT OK
2025-12-23,22:13:08.267320,NOT OK
2025-12-23,22:13:08.456372,NOT OK
2025-12-23,22:13:09.057734,NOT OK
2025-12-23,22:13:09.270637,NOT OK
2025-12-23,22:13:10.690328,NOT OK
2025-12-23,22:13:10.952171,NOT OK
2025-12-23,22:13:11.910998,NOT OK
2025-12-23,22:13:12.678098,NOT OK
2025-12-23,22:13:13.029409,NOT OK
2025-12-23,22:13:13.176887,NOT OK
2025-12-23,22:13:13.332696,NOT OK
2025-12-23,22:13:13.525992,NOT OK
2025-12-23,22:13:13.736103,NOT OK
2025-12-23,22:13:13.986527,NOT OK
2025-12-23,22:13:14.280329,NOT OK
2025-12-23,22:13:14.337283,NOT OK
2025-12-23,22:13:14.415772,NOT OK
2025-12-23,22:13:14.460048,NOT OK
2025-12-23,22:13:14.532791,NOT OK
2025-12-23,22:13:14.564917,NOT OK
2025-12-23,22:13:14.613592,NOT OK
2025-12-23,22:13:14.666471,NOT OK
2025-12-23,22:13:14.730499,NOT OK
2025-12-23,22:13:14.766391,NOT OK
2025-12-23,22:13:14.835983,NOT OK
2025-12-23,22:13:14.880577,NOT OK
2025-12-23,22:13:14.953056,NOT OK
2025-12-23,22:13:14.999157,NOT OK
2025-12-23,22:13:15.144078,NOT OK
2025-12-23,22:13:15.226137,NOT OK
2025-12-23,22:13:15.332492,NOT OK
2025-12-23,22:13:15.400243,NOT OK
2025-12-23,22:13:15.508503,NOT OK
2025-12-23,22:13:15.600347,NOT OK
2025-12-23,22:13:15.713540,NOT OK
